0.000	3000.000
0.001	2996.745
0.002	2994.507
0.003	2992.580
0.004	2990.776
0.006	2989.243
0.007	2987.956
0.009	2986.870
0.011	2985.939
0.013	2985.206
0.016	2984.492
0.019	2983.856
0.022	2983.284
0.025	2982.761
0.029	2982.278
0.033	2981.848
0.038	2981.418
0.044	2981.009
0.050	2980.617
0.057	2980.239
0.064	2979.878
0.073	2979.523
0.083	2979.176
0.094	2978.838
0.106	2978.506
0.119	5978.180
0.134	2977.859
0.151	2977.543
0.170	2977.230
0.192	2976.921
0.216	2976.616
0.242	2976.312
0.272	2976.011
0.306	2975.712
0.343	2975.415
0.386	2975.120
0.433	2974.826
0.485	2974.533
0.545	2974.242
0.611	2973.951
0.685	2973.662
0.768	2973.374
0.861	2973.085
0.965	2972.797
1.082	2972.509
1.213	2972.220
1.359	2971.929
1.523	2971.635
1.707	2971.336
1.913	2971.031
2.143	2970.719
2.401	2970.397
2.690	2970.063
3.014	2969.715
3.376	2969.353
3.782	2968.976
4.237	2968.582
4.746	2968.172
5.317	2967.744
5.956	2967.300
6.671	2966.840
7.473	2966.365
8.370	2965.875
9.376	2965.370
10.502	2964.852
11.763	2964.323
13.175	2963.782
14.757	2963.231
16.529	2962.668
18.514	2962.096
20.736	2961.515
23.225	2960.925
26.013	2960.327
29.136	2959.721
32.633	2959.104
36.550	2958.480
40.936	2957.848
45.850	2957.209
51.353	2956.562
57.516	2955.906
64.419	2955.242
72.150	2954.573
80.808	2953.901
90.506	2953.237
101.368	2952.572
113.533	2951.902
127.158	2951.228
142.418	2950.546
159.509	2949.853
178.651	2949.147
200.090	2948.423
224.101	2947.676
250.994	2946.900
281.114	2946.088
314.849	2945.231
352.632	2944.318
394.949	2943.340
437.596	2942.385
