0.0001	2772.712
0.00084	2773.623
0.00167	2774.796
0.0025	2777.011
0.00334	2779.559
0.00417	2782.714
0.005	2786.363
0.00584	2790.087
0.00667	2794.293
0.0075	2798.243
0.00834	2802.171
0.00917	2806.228
0.01	2809.648
0.01084	2813.344
0.01167	2817.113
0.01334	2825.206
0.015	2832.396
0.01667	2840.289
0.01834	2847.395
0.02084	2859.065
0.02334	2870.482
0.02584	2881.722
0.02917	2897.242
0.0325	2911.969
0.03667	2930.834
0.04167	2953.414
0.0475	2979.412
0.05417	3008.332
0.06167	3040.58
0.07	3076.234
0.08	3118.272
0.09167	3167.065
0.105	3222.117
0.12	3282.927
0.1375	3352.696
0.1575	3430.888
0.18084	3519.674
0.20834	3621.128
0.24	3734.49
0.27667	3860.471
0.31917	3999.137
0.36917	4151.668
0.42667	4312.814
0.49334	4479.895
0.57084	4646.864
0.66084	4805.876
0.76584	4952.316
0.88834	5077.368
1.03	5173.22
1.195	5239.346
1.38667	5284.953
1.61	5319.979
1.86917	5341.745
2.17084	5360.094
2.52167	5376.353
2.93	5396.012
3.405	5409.742
3.95667	5422.04
4.59834	5433.059
5.345	5443.405
6.21334	5452.588
7.22334	5461.128
8.39834	5468.842
9.76417	5475.482
11.35334	5481.158
13.20167	5486.468
15.35084	5491.229
17.85084	5495.821
20.75834	5499.946
24.11334	5504.325
